ts,freeGiB,guests,guestMB,renode,renodeMB,pwsh,pwshMB,cpu
15:52:37,6.95,1,185,0,0,11,794,1
15:52:43,6.89,1,207,0,0,11,826,2
15:52:49,6.73,2,336,0,0,12,906,7
15:52:56,6.66,2,383,0,0,12,913,0
15:53:02,6.7,1,370,0,0,10,744,0
15:53:08,6.58,1,414,0,0,11,824,1
15:53:14,6.44,2,520,0,0,12,910,0
15:53:20,6.24,2,565,0,0,14,1135,1
15:53:26,6.45,1,542,0,0,11,832,3
15:53:32,6.32,1,586,0,0,13,1006,10
15:53:38,6.31,1,629,0,0,12,922,2
15:53:44,6.26,1,675,0,0,12,924,3
15:53:50,6.93,0,0,0,0,13,930,3
15:53:56,6.87,0,0,0,0,12,924,3
15:54:03,6.94,0,0,0,0,11,842,3
15:54:09,6.88,0,0,0,0,11,900,0
15:54:15,6.96,0,0,0,0,11,845,4
15:54:21,7.03,0,0,0,0,10,719,0
15:54:27,7.02,0,0,0,0,10,711,2
15:54:33,7.01,0,0,0,0,10,710,8
15:54:39,6.49,1,342,0,0,13,1007,15
15:54:45,6.92,0,0,0,0,10,716,0
15:54:51,7.01,0,0,0,0,11,790,12
15:54:57,7.11,0,0,0,0,8,486,11
15:55:04,7.14,0,0,0,0,7,439,5
15:55:10,7.06,0,0,0,0,8,567,5
15:55:16,7.12,0,0,0,0,7,437,8
15:55:22,7.08,0,0,0,0,8,531,2
15:55:28,7.11,0,0,0,0,8,531,0
15:55:34,7.12,0,0,0,0,8,531,4
15:55:40,7.09,0,0,0,0,8,535,2
15:55:46,7.05,0,0,0,0,9,619,0
15:55:52,7.13,0,0,0,0,8,528,7
15:55:58,7.13,0,0,0,0,8,527,6
15:56:04,7.12,0,0,0,0,8,526,5
15:56:10,7.13,0,0,0,0,8,526,4
15:56:17,7.17,0,0,0,0,8,526,0
15:56:23,7.17,0,0,0,0,8,526,1
15:56:29,7.2,0,0,0,0,8,526,0
15:56:35,7.2,0,0,0,0,8,523,1
15:56:41,7.2,0,0,0,0,8,523,1
15:56:47,7.19,0,0,0,0,8,523,3
15:56:53,7.2,0,0,0,0,7,435,7
15:56:59,7.23,0,0,0,0,7,435,0
15:57:05,7.25,0,0,0,0,7,435,16
15:57:11,7.22,0,0,0,0,7,435,2
15:57:17,7.23,0,0,0,0,7,435,0
15:57:24,7.18,0,0,0,0,8,545,1
15:57:30,7.06,0,0,0,0,9,638,12
15:57:36,6.91,0,0,0,0,10,785,18
15:57:42,6.7,1,331,0,0,10,767,4
15:57:48,7.07,0,0,0,0,10,665,11
15:57:54,6.13,1,828,0,0,12,923,6
15:58:00,6.73,1,157,0,0,9,847,7
15:58:06,6.78,0,0,0,0,10,1024,11
15:58:12,6.78,0,0,0,0,10,1028,6
15:58:18,6.76,0,0,0,0,10,1052,10
15:58:24,6.69,1,202,0,0,9,901,6
15:58:31,6.42,1,391,0,0,10,994,3
15:58:37,6.45,0,0,0,0,19,1730,21
15:58:43,6.06,2,157,0,0,18,1954,17
15:58:49,6.71,8,122,0,0,10,1023,5
15:58:55,6.92,0,0,0,0,10,942,17
15:59:01,6.38,4,17,0,0,18,1825,66
15:59:07,6.5,1,10,0,0,16,1426,71
15:59:14,6.46,2,19,0,0,18,1749,73
15:59:20,6.87,1,7,0,0,10,958,11
15:59:26,6.81,0,0,0,0,11,1081,1
15:59:32,6.29,0,0,0,0,14,1588,18
15:59:38,6.29,0,0,0,0,14,1565,3
15:59:44,4.71,4,1717,0,0,15,1647,13
15:59:50,3.59,4,2913,0,0,15,1629,9
15:59:56,3.29,4,3255,0,0,15,1633,15
16:00:02,3.33,4,3287,0,0,14,1515,23
16:00:08,3.34,4,3293,0,0,14,1515,15
16:00:15,3.38,4,3304,0,0,14,1515,14
16:00:21,3.36,4,3346,0,0,14,1515,7
16:00:27,3.05,4,3661,0,0,14,1515,8
16:00:33,2.98,4,3756,0,0,14,1515,15
16:00:39,2.94,4,3788,0,0,15,1556,27
16:00:45,2.93,4,3811,0,0,14,1515,2
16:00:51,2.93,4,3832,0,0,14,1514,2
16:00:57,2.81,4,3847,0,0,16,1696,13
16:01:03,2.87,4,3860,0,0,14,1518,35
16:01:10,4.52,2,2101,0,0,14,1652,11
16:01:16,6.46,0,0,0,0,13,1602,4
16:01:22,6.56,0,0,0,0,12,1437,3
16:01:28,6.05,8,354,0,0,18,1887,82
16:01:34,6.01,6,401,0,0,18,1886,94
16:01:40,6.06,4,385,0,0,18,1876,88
16:01:46,4,7,2359,0,0,18,2061,83
16:01:52,3.85,8,2501,0,0,18,2066,83
