ts,freeGiB,guests,guestMB,renode,renodeMB,pwsh,pwshMB,cpu,supervisors,supervisorMB
07:18:11,4.98,1,6,0,0,16,1870,29,0,0
07:18:18,5.01,0,0,0,0,15,1750,27,0,0
07:18:24,5.03,0,0,0,0,15,1741,24,0,0
07:18:31,5.06,0,0,0,0,14,1648,10,0,0
07:18:37,5.03,0,0,0,0,15,1737,32,0,0
07:18:43,5.13,0,0,0,0,14,1651,8,0,0
07:18:49,5.03,0,0,0,0,15,1728,26,0,0
07:18:56,5.06,0,0,0,0,14,1650,47,0,0
07:19:02,5.04,0,0,0,0,14,1650,17,0,0
07:19:08,4.98,0,0,0,0,14,1653,11,0,0
07:19:14,4.93,0,0,0,0,16,1840,18,0,0
07:19:21,4.92,0,0,0,0,16,1832,16,0,0
07:19:27,4.93,0,0,0,0,16,1839,14,0,0
07:19:33,5.66,0,0,0,0,16,1838,9,0,0
07:19:39,5.71,0,0,0,0,16,1838,9,0,0
07:19:46,5.7,0,0,0,0,16,1840,11,0,0
07:19:52,5.67,0,0,0,0,16,1854,17,0,0
07:19:58,5.64,0,0,0,0,16,1855,14,0,0
07:20:04,5.67,0,0,0,0,16,1839,16,0,0
07:20:10,5.65,0,0,0,0,17,1914,24,0,0
07:20:17,5.64,0,0,0,0,16,1847,14,0,0
07:20:23,5.61,0,0,0,0,17,1923,16,0,0
07:20:29,5.64,0,0,0,0,16,1841,19,0,0
07:20:35,5.61,0,0,0,0,16,1842,15,0,0
07:20:42,5.57,0,0,0,0,17,1887,18,0,0
07:20:48,5.62,0,0,0,0,16,1848,25,0,0
07:20:54,5.6,0,0,0,0,16,1827,20,0,0
07:21:00,5.73,0,0,0,0,13,1567,8,0,0
07:21:07,5.84,0,0,0,0,12,1467,6,0,0
07:21:13,5.84,0,0,0,0,12,1468,0,0,0
07:21:19,5.83,0,0,0,0,13,1550,3,0,0
07:21:25,5.85,0,0,0,0,12,1470,2,0,0
07:21:31,5.81,0,0,0,0,13,1508,0,0,0
07:21:38,5.82,0,0,0,0,13,1469,0,0,0
07:21:44,5.84,0,0,0,0,12,1465,0,0,0
07:21:50,5.7,0,0,0,0,14,1699,13,0,0
07:21:56,5.72,0,0,0,0,14,1729,5,0,0
07:22:02,5.86,0,0,0,0,13,1536,0,0,0
07:22:09,5.89,0,0,0,0,13,1469,11,0,0
07:22:15,5.86,0,0,0,0,13,1547,20,0,0
07:22:21,5.83,0,0,0,0,13,1548,12,0,0
07:22:27,5.86,0,0,0,0,12,1467,1,0,0
07:22:33,5.71,0,0,0,0,14,1676,5,0,0
