ts,freeGiB,guests,guestMB,renode,renodeMB,pwsh,pwshMB,cpu,supervisors,supervisorMB
18:34:26,7.23,0,0,0,0,15,1910,11,0,0
18:34:32,7.17,1,45,0,0,14,1905,13,0,0
18:34:38,7.11,1,66,0,0,13,1828,45,0,0
18:34:45,7.07,1,69,0,0,13,1822,4,0,0
18:34:51,6.61,1,69,0,0,14,1914,65,0,0
18:34:57,6.98,1,69,0,0,14,1915,0,0,0
18:35:03,6.82,1,69,0,0,14,1913,3,0,0
18:35:09,6.33,1,69,0,0,14,1914,6,0,0
18:35:16,7.11,1,69,0,0,14,1918,0,0,0
18:35:22,7.12,1,69,0,0,14,1916,1,0,0
18:35:28,7.11,1,69,0,0,13,1827,0,0,0
18:35:34,7.08,1,45,0,0,13,1836,10,0,0
18:35:40,7.06,1,84,0,0,13,1837,6,0,0
18:35:47,7.16,1,38,0,0,13,1836,6,0,0
18:35:53,7.15,0,0,0,0,14,1926,22,0,0
18:35:59,7.15,0,0,0,0,14,1960,6,0,0
18:36:05,7.09,0,0,0,0,14,2019,27,0,0
18:36:11,7.15,0,0,0,0,14,1942,0,0,0
18:36:17,7.19,0,0,0,0,14,1924,5,0,0
18:36:23,7.16,0,0,0,0,14,1943,1,0,0
18:36:30,7.26,0,0,0,0,14,1870,3,0,0
18:36:36,7.22,0,0,0,0,14,1943,6,0,0
18:36:42,7.2,1,55,0,0,13,1837,3,0,0
18:36:48,7.24,1,55,0,0,13,1844,6,0,0
18:36:54,7.25,0,0,0,0,14,1941,1,0,0
18:37:00,7.23,1,57,0,0,13,1840,1,0,0
18:37:06,7.28,0,0,0,0,13,1843,8,0,0
18:37:13,7.25,0,0,0,0,14,1933,3,0,0
18:37:19,7.31,0,0,0,0,13,1839,0,0,0
18:37:25,7.25,1,46,0,0,13,1839,3,0,0
18:37:31,7.26,1,46,0,0,13,1842,1,0,0
18:37:37,7.25,1,62,0,0,13,1844,2,0,0
18:37:43,7.27,1,57,0,0,13,1843,15,0,0
18:37:49,7.3,1,46,0,0,13,1850,0,0,0
18:37:56,7.28,1,63,0,0,13,1850,5,0,0
18:38:02,7.27,1,70,0,0,13,1842,5,0,0
18:38:08,7.34,0,0,0,0,13,1845,14,0,0
18:38:14,7.3,1,46,0,0,13,1847,5,0,0
18:38:20,7.3,0,0,0,0,15,2005,14,0,0
18:38:26,7.27,1,46,0,0,14,1968,0,0,0
18:38:32,7.29,1,46,0,0,14,1966,3,0,0
18:38:39,7.29,1,48,0,0,14,1968,0,0,0
18:38:45,7.3,1,48,0,0,14,1969,0,0,0
18:38:51,7.35,0,0,0,0,15,2031,1,0,0
18:38:57,7.32,1,46,0,0,14,1977,2,0,0
18:39:03,7.31,1,46,0,0,14,1974,4,0,0
18:39:09,7.3,1,46,0,0,14,1977,5,0,0
18:39:15,7.32,1,47,0,0,14,1969,7,0,0
18:39:22,7.31,1,45,0,0,14,1972,5,0,0
18:39:28,7.31,1,46,0,0,14,1977,3,0,0
18:39:34,7.33,1,46,0,0,14,1983,0,0,0
