ts,pid,name,role,wsMB
13:14:53,10688,codex-vm.exe,guest,437
13:15:05,13580,codex-vm.exe,guest,975
13:15:42,15044,codex-vm.exe,guest,297
13:15:48,16868,codex-vm.exe,guest,398
13:17:26,5552,codex-vm.exe,guest,314
13:17:32,13304,codex-vm.exe,guest,150
13:17:38,16900,codex-vm.exe,guest,17
13:18:21,2276,codex-vm.exe,guest,10
13:18:21,9788,codex-vm.exe,guest,10
13:18:21,16436,codex-vm.exe,guest,10
13:18:21,7024,codex-vm.exe,guest,10
13:18:33,14404,codex-vm.exe,guest,31
13:18:33,14140,codex-vm.exe,guest,31
13:18:33,13136,codex-vm.exe,guest,10
13:18:33,2800,codex-vm.exe,guest,10
13:18:39,3156,codex-vm.exe,guest,21
13:18:39,13740,codex-vm.exe,guest,21
13:18:39,17800,codex-vm.exe,guest,10
13:18:39,18740,codex-vm.exe,guest,10
13:18:45,10440,codex-vm.exe,guest,31
13:18:45,18360,codex-vm.exe,guest,10
13:18:52,12076,codex-vm.exe,guest,295
13:19:04,8856,codex-vm.exe,supervisor,6
13:19:04,3312,codex-vm.exe,guest,6
13:19:10,4232,codex-vm.exe,guest,67
13:19:10,12448,codex-vm.exe,guest,16
13:19:16,14912,codex-vm.exe,guest,407
13:19:16,8280,codex-vm.exe,guest,10
13:19:22,11188,codex-vm.exe,guest,441
13:19:22,4708,codex-vm.exe,guest,10
13:19:28,13968,codex-vm.exe,guest,407
13:19:28,19060,codex-vm.exe,guest,407
13:19:28,5940,codex-vm.exe,guest,408
13:19:35,17840,codex-vm.exe,guest,407
13:19:35,16920,codex-vm.exe,guest,408
13:19:41,6300,codex-vm.exe,guest,79
13:19:47,17180,codex-vm.exe,guest,10
13:19:47,4696,codex-vm.exe,guest,10
13:19:47,5552,codex-vm.exe,guest,10
13:19:53,18924,codex-vm.exe,guest,409
13:19:53,10884,codex-vm.exe,guest,409
13:19:53,2956,codex-vm.exe,guest,10
13:19:59,18388,codex-vm.exe,guest,204
13:20:05,14032,codex-vm.exe,guest,89
13:20:12,2888,codex-vm.exe,guest,398
13:20:12,9704,codex-vm.exe,guest,10
13:20:24,14276,codex-vm.exe,supervisor,6
13:20:24,9352,codex-vm.exe,supervisor,6
13:20:24,17180,codex-vm.exe,supervisor,6
13:20:24,8244,codex-vm.exe,supervisor,6
13:20:24,18356,codex-vm.exe,guest,7
13:20:24,2740,codex-vm.exe,guest,2
13:20:30,14276,codex-vm.exe,supervisor,6
13:20:30,17180,codex-vm.exe,supervisor,6
